No,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,追加
276,弥生改,駆逐艦,24,39,89,39,69,39,59,39,12,0,高速,短,15,15,Lv99,編集
277,卯月,駆逐艦,13,18,69,29,49,29,39,17,10,0,高速,短,15,15,Lv99,編集
278,卯月改,駆逐艦,24,39,89,34,69,49,65,39,14,0,高速,短,15,15,Lv99,編集
279,あきつ丸改,揚陸艦,40,43,49,33,0,37,0,59,13,24,低速,短,45,25,Lv99,編集
280,磯風,駆逐艦,16,19,79,29,69,44,49,19,16,0,高速,短,15,20,,編集
281,磯風改,駆逐艦,33,49,88,48,79,64,68,49,18,0,高速,短,15,20,,編集
282,浦風,駆逐艦,16,19,79,29,69,40,49,19,13,0,高速,短,15,20,,編集
283,浦風改,駆逐艦,32,49,88,48,79,49,69,39,13,0,高速,短,15,20,Lv99,編集
284,谷風,駆逐艦,16,19,79,29,69,40,49,19,14,0,高速,短,15,20,,編集
285,谷風改,駆逐艦,32,49,88,48,79,49,69,39,16,0,高速,短,15,20,,編集
286,浜風,駆逐艦,16,19,79,29,69,42,49,19,15,0,高速,短,15,20,,編集
287,浜風改,駆逐艦,32,49,88,48,79,60,68,39,17,0,高速,短,15,20,,編集
288,Bismarck,戦艦,90,83,63,88,0,48,0,42,8,16,高速,長,90,110,Lv99,編集
289,Bismarck改,戦艦,94,93,69,93,0,58,0,52,10,16,高速,長,95,115,Lv99,編集
290,Bismarck zwei,戦艦,96,94,72,97,0,62,0,54,20,16,高速,長,105,135,2014/06/20メンテ後,編集
291,Z1,駆逐艦,18,22,76,26,60,42,64,24,6,0,高速,短,20,20,,編集
292,Z1改,駆逐艦,33,45,79,45,70,45,69,42,12,0,高速,短,20,25,,編集
293,Z3,駆逐艦,18,22,76,26,60,42,64,24,6,0,高速,短,20,20,,編集
294,Z3改,駆逐艦,33,45,79,45,70,45,69,42,12,0,高速,短,20,25,,編集
295,Prinz Eugen,重巡洋艦,50,64,68,56,64,44,0,40,30,9,高速,中,50,70,,編集
296,Prinz Eugen改,重巡洋艦,63,82,74,75,84,60,0,50,40,12,高速,中,55,75,,編集
297,Bismarck drei,戦艦,96,95,74,99,36,70,0,59,22,16,高速,長,110,155,,編集
298,Z1 zwei,駆逐艦,35,53,84,49,71,64,69,43,15,0,高速,短,20,25,,編集
299,Z3 zwei,駆逐艦,35,53,84,47,71,68,69,43,15,0,高速,短,20,25,,編集
300,天津風,駆逐艦,18,25,89,29,79,53,54,19,18,0,高速,短,20,20,,編集
301,天津風改,駆逐艦,34,61,94,49,84,63,59,39,17,0,高速,短,20,20,,編集
302,明石,工作艦,39,19,29,14,0,24,0,5,10,0,低速,短,50,10,Lv99,編集
303,大淀,軽巡洋艦,34,34,70,48,39,62,39,80,24,12,高速,中,35,30,,編集
304,大淀改,軽巡洋艦,47,68,78,70,49,74,39,84,30,12,高速,中,35,35,,編集
305,大鯨,潜水母艦,39,37,39,15,0,36,0,48,20,8,低速,短,35,10,,編集
306,龍鳳,軽空母,39,38,49,20,0,48,0,64,20,31,低速,短,35,35,,編集
307,時津風,駆逐艦,16,19,9,29,69,40,49,19,13,0,高速,短,15,20,,編集
308,時津風改,駆逐艦,32,49,88,48,79,49,64,39,12,0,高速,短,15,20,,編集
309,明石改,工作艦,45,27,39,24,0,36,0,6,12,0,低速,短,55,15,Lv99,編集
310,利根改二,航空巡洋艦,59,79,82,77,82,84,0,92,15,18,高速,中,50,65,,編集
311,筑摩改二,航空巡洋艦,58,79,80,77,83,85,0,93,14,18,高速,中,50,65,,編集
312,龍鳳改,軽空母,48,57,62,32,0,62,0,74,24,45,低速,短,35,40,,編集
313,妙高改二,重巡洋艦,56,79,87,81,88,80,0,61,32,12,高速,中,45,75,,編集
314,那智改二,重巡洋艦,56,78,83,81,85,83,0,63,18,12,高速,中,45,75,,編集
315,足柄改二,重巡洋艦,56,79,85,84,84,77,0,57,20,12,高速,中,45,75,,編集
316,羽黒改二,重巡洋艦,57,78,86,84,84,76,0,58,19,12,高速,中,45,75,,編集
317,綾波改二,駆逐艦,32,54,90,74,88,52,63,49,40,0,高速,短,15,20,,編集
318,飛龍改二,正規空母,67,76,86,67,0,82,0,89,50,81,高速,短,70,75,,編集
319,蒼龍改二,正規空母,67,75,74,63,0,84,0,93,15,81,高速,短,70,75,,編集
320,霰改二,駆逐艦,31,53,91,66,87,63,81,53,15,0,高速,短,15,20,,編集
321,大潮改二,駆逐艦,31,51,90,67,90,62,64,54,17,0,高速,短,15,20,,編集
322,阿武隈改二,軽巡洋艦,45,68,83,56,94,78,82,60,20,3,高速,短,25,35,,編集
323,雲龍,正規空母,48,52,59,27,0,72,0,72,10,51,高速,短,50,45,,編集
324,天城,正規空母,48,51,59,25,0,72,0,74,13,51,高速,短,50,45,,編集
325,葛城,正規空母,48,52,59,25,0,72,0,70,20,51,高速,短,50,45,,編集
326,初春改二,駆逐艦,31,51,90,55,90,73,69,45,16,0,高速,短,15,20,,編集
327,春雨,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
328,春雨改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,,編集
329,雲龍改,正規空母,60,77,72,48,0,78,0,82,12,69,高速,短,50,55,,編集
330,潮改二,駆逐艦,33,58,95,59,83,79,75,48,32,0,高速,短,15,20,2020\9\17メンテ後,編集
331,隼鷹改二,軽空母,55,62,84,40,0,74,0,79,41,66,低速,短,45,50,,編集
332,早霜,駆逐艦,16,19,80,30,69,39,52,19,11,0,高速,短,15,20,,編集
333,早霜改,駆逐艦,32,49,90,50,80,50,67,42,12,0,高速,短,15,20,,編集
334,清霜,駆逐艦,16,19,80,30,69,39,52,19,12,0,高速,短,15,20,,編集
335,清霜改,駆逐艦,32,49,90,50,80,50,67,42,13,0,高速,短,15,20,,編集
336,扶桑改二,航空戦艦,77,90,69,99,0,88,28,59,13,40,低速,長,105,140,,編集
337,山城改二,航空戦艦,77,91,69,98,0,87,29,59,14,40,低速,長,105,140,,編集
338,朝雲,駆逐艦,16,19,79,29,69,39,49,19,8,0,高速,短,15,20,,編集
339,朝雲改,駆逐艦,31,49,89,49,79,49,59,39,12,0,高速,短,15,20,,編集
340,山雲,駆逐艦,16,19,79,29,69,39,50,19,7,0,高速,短,15,20,,編集
341,山雲改,駆逐艦,31,48,89,49,79,49,64,39,11,0,高速,短,15,20,,編集
342,野分,駆逐艦,16,19,79,29,69,44,49,19,14,0,高速,短,15,20,,編集
343,野分改,駆逐艦,32,49,88,48,79,49,68,39,13,0,高速,短,15,20,,編集
344,古鷹改二,重巡洋艦,53,72,77,77,75,64,0,54,14,8,高速,中,35,65,2015/6/12メンテ後,編集
345,加古改二,重巡洋艦,52,72,76,78,77,65,0,55,12,8,高速,中,35,65,,編集
346,皐月改二,駆逐艦,28,45,96,42,78,82,81,45,20,0,高速,短,15,15,,編集
347,初霜改二,駆逐艦,32,55,94,59,85,81,72,48,53,0,高速,短,15,20,2018/3/23メンテ後,編集
348,叢雲改二,駆逐艦,31,51,90,57,89,74,69,42,15,0,高速,短,15,20,,編集
349,秋月,駆逐艦,20,27,84,48,48,104,63,29,10,0,高速,短,20,25,,編集
350,秋月改,駆逐艦,37,53,88,57,54,116,72,49,12,0,高速,短,20,25,,編集
351,照月,駆逐艦,20,26,83,49,49,103,63,29,9,0,高速,短,20,25,,編集
352,照月改,駆逐艦,37,52,87,58,56,114,72,49,11,0,高速,短,20,25,,編集
353,初月,駆逐艦,20,28,85,50,47,101,62,28,7,0,高速,短,20,25,,編集
354,初月改,駆逐艦,37,54,89,60,54,110,72,49,8,0,高速,短,20,25,,編集
355,高波,駆逐艦,16,19,80,30,69,39,52,24,8,0,高速,短,15,20,,編集
356,高波改,駆逐艦,32,49,90,51,80,50,67,54,10,0,高速,短,15,20,2018/4/6メンテ後,編集
357,朝霜,駆逐艦,16,19,80,29,68,44,64,19,16,0,高速,短,15,20,,編集
358,朝霜改,駆逐艦,33,51,92,50,78,62,79,43,18,0,高速,短,15,20,2018/4/6メンテ後,編集
359,吹雪改二,駆逐艦,31,51,92,59,88,78,68,54,18,0,高速,短,15,20,,編集
360,鳥海改二,重巡洋艦,57,78,80,86,86,70,0,62,19,12,高速,中,45,80,,編集
361,摩耶改二,重巡洋艦,57,78,81,77,84,106,0,55,14,12,高速,中,45,80,,編集
362,天城改,正規空母,60,76,73,45,0,79,0,80,17,69,高速,短,50,55,,編集
363,葛城改,正規空母,60,78,75,45,0,78,0,78,30,69,高速,短,50,55,,編集
364,U-511,潜水艦,8,16,44,8,58,0,0,28,30,0,低速,短,10,20,,編集
365,U-511改,潜水艦,13,20,59,12,64,0,0,29,34,0,低速,短,10,20,,編集
366,Graf Zeppelin,正規空母,70,57,49,40,0,70,0,69,4,43,高速,中,55,65,,編集
367,Graf Zeppelin改,正規空母,78,81,69,52,0,80,0,75,7,56,高速,中,70,80,,編集
368,Saratoga,正規空母,83,63,42,45,0,73,0,68,25,80,高速,中,65,70,Lv99,編集
369,睦月改二,駆逐艦,27,43,90,45,79,56,69,43,14,0,高速,短,15,15,,編集
370,如月改二,駆逐艦,27,43,91,46,80,57,69,44,13,0,高速,短,15,15,,編集
371,呂500,潜水艦,13,21,68,13,69,0,0,34,44,0,低速,短,10,20,LV99,編集
372,暁改二,駆逐艦,31,50,89,62,90,59,66,60,15,0,高速,短,15,20,,編集
373,Saratoga改,正規空母,88,83,53,53,0,93,0,80,35,90,高速,短,85,90,,編集
374,Warspite,戦艦,72,91,54,92,0,88,0,48,55,12,低速,長,90,110,,編集
375,Warspite改,戦艦,82,93,67,107,0,98,0,60,70,12,低速,長,90,110,,編集
376,Iowa,戦艦,84,95,67,105,0,96,0,64,35,16,高速,長,200,250,,編集
377,Iowa改,戦艦,92,107,70,116,0,120,0,71,40,16,高速,長,200,275,,編集
378,Littorio,戦艦,88,86,54,97,0,72,0,44,20,12,高速,超長,130,150,LV99,編集
379,Roma,戦艦,88,85,52,98,0,74,0,46,6,12,高速,超長,130,150,,編集
380,Libeccio,駆逐艦,15,18,82,27,58,41,60,20,12,0,高速,短,15,20,,編集
381,Libeccio改,駆逐艦,29,50,92,48,72,59,80,46,16,0,高速,短,15,20,,編集
382,Aquila,正規空母,38,38,58,14,0,48,0,52,5,51,高速,短,40,45,,編集
383,Aquila改,正規空母,48,58,73,31,0,72,0,72,7,66,高速,短,45,55,,編集
384,秋津洲,水上機母艦,32,25,57,18,0,36,0,42,12,2,低速,短,50,10,,編集
385,Italia,戦艦,92,92,76,102,0,90,0,52,30,12,高速,超長,140,170,,編集
386,Roma改,戦艦,92,90,71,105,0,94,0,52,8,12,高速,超長,140,170,,編集
387,Zara,重巡洋艦,42,54,59,58,28,62,0,36,10,6,高速,長,45,60,,編集
388,Zara改,重巡洋艦,56,78,72,75,40,72,0,46,12,8,高速,長,45,65,,編集
389,Pola,重巡洋艦,42,53,58,59,32,64,0,35,9,6,高速,長,45,60,,編集
390,Pola改,重巡洋艦,56,77,71,77,44,73,0,47,11,8,高速,長,45,65,,編集
391,秋津洲改,水上機母艦,36,42,64,28,0,44,0,54,14,3,低速,短,60,15,,編集
392,瑞穂,水上機母艦,41,42,37,36,32,32,0,74,8,24,低速,短,35,35,,編集
393,瑞穂改,水上機母艦,42,48,42,45,72,44,0,94,10,32,低速,短,40,45,,編集
394,沖波,駆逐艦,16,19,80,30,69,38,53,21,10,0,高速,短,15,20,,編集
395,沖波改,駆逐艦,32,49,90,50,81,50,70,42,12,0,高速,短,15,20,,編集
396,風雲,駆逐艦,16,19,80,30,70,40,52,19,13,0,高速,短,15,20,,編集
397,風雲改,駆逐艦,32,49,90,50,81,51,69,42,14,0,高速,短,15,20,,編集
398,嵐,駆逐艦,16,19,79,29,69,39,62,19,11,0,高速,短,15,20,,編集
399,嵐改,駆逐艦,32,49,87,49,79,49,70,39,12,0,高速,短,15,20,,編集
400,萩風,駆逐艦,16,19,79,30,69,39,59,19,11,0,高速,短,15,20,,編集
401,萩風改,駆逐艦,32,49,87,50,79,49,68,39,12,0,高速,短,15,20,,編集
402,親潮,駆逐艦,16,19,79,30,68,37,47,19,13,0,高速,短,15,20,,編集
403,親潮改,駆逐艦,32,49,87,50,78,48,67,40,14,0,高速,短,15,20,,編集
404,山風,駆逐艦,16,19,77,31,69,38,42,18,6,0,高速,短,15,20,,編集
405,山風改,駆逐艦,30,48,88,51,82,49,73,42,8,0,高速,短,15,20,,編集
406,海風,駆逐艦,16,19,79,29,69,40,50,19,10,0,高速,短,15,20,,編集
407,海風改,駆逐艦,30,49,89,49,79,50,63,40,13,0,高速,短,15,20,,編集
408,江風,駆逐艦,16,19,79,29,70,39,49,19,10,0,高速,短,15,20,,編集
409,江風改,駆逐艦,30,49,89,49,80,49,59,40,12,0,高速,短,15,20,,編集
410,速吸,補給艦,43,15,28,22,0,32,20,40,7,7,低速,短,100,15,,編集
411,速吸改,補給艦,48,19,33,36,0,48,36,59,8,10,低速,短,120,20,,編集
412,翔鶴改二,正規空母,77,77,84,63,0,88,0,93,20,93,高速,中,90,85,,編集
413,瑞鶴改二,正規空母,78,78,89,56,0,90,0,92,50,93,高速,中,90,85,,編集
414,朝潮改二,駆逐艦,31,52,90,68,92,60,59,57,17,0,高速,短,15,20,2018/4/6メンテ後,編集
415,霞改二,駆逐艦,31,52,90,65,92,72,68,54,37,0,高速,短,15,20,2018/4/6メンテ後,編集
416,鹿島,練習巡洋艦,36,27,51,27,24,46,43,36,20,3,低速,中,30,15,,編集
417,鹿島改,練習巡洋艦,40,39,54,37,39,62,69,50,20,8,低速,中,35,20,,編集
418,翔鶴改二甲,装甲空母,78,83,81,70,0,88,0,90,20,76,高速,中,100,85,,編集
419,瑞鶴改二甲,装甲空母,79,84,85,65,0,90,0,90,50,76,高速,中,100,85,,編集
420,朝潮改二丁,駆逐艦,34,55,88,55,86,75,89,55,17,0,高速,短,15,20,2018/4/6メンテ後,編集
421,江風改二,駆逐艦,31,51,89,62,96,64,63,53,19,0,高速,短,15,20,,編集
422,霞改二乙,駆逐艦,31,52,92,60,83,82,68,56,37,0,高速,短,15,20,2018/4/6メンテ後,編集
423,神風,駆逐艦,12,17,80,28,36,26,60,18,30,0,高速,短,15,15,,編集
424,朝風,駆逐艦,12,17,72,29,37,27,55,19,13,0,高速,短,15,15,,編集
425,朝風改,駆逐艦,23,37,88,42,69,52,68,47,14,0,高速,短,15,15,,編集
426,春風,駆逐艦,12,17,74,27,36,28,56,17,25,0,高速,短,15,15,,編集
427,春風改,駆逐艦,23,38,90,38,68,56,75,46,30,0,高速,短,15,15,,編集
428,松風,駆逐艦,12,17,73,28,38,25,62,18,12,0,高速,短,15,15,,編集
429,松風改,駆逐艦,23,37,87,39,68,50,70,47,12,0,高速,短,15,15,,編集
430,旗風,駆逐艦,12,17,75,29,36,24,56,17,17,0,高速,短,15,15,,編集
431,旗風改,駆逐艦,23,37,89,40,68,51,70,46,18,0,高速,短,15,15,,編集
432,神風改,駆逐艦,23,39,98,41,69,48,77,42,40,0,高速,短,15,15,,編集
433,天龍改二,軽巡洋艦,42,63,82,64,78,89,70,53,17,3,高速,短,25,25,,編集
434,龍田改二,軽巡洋艦,42,63,84,50,80,80,82,52,18,3,高速,短,25,25,,編集
435,天霧,駆逐艦,15,20,80,30,70,39,49,20,11,0,高速,短,15,20,,編集
436,天霧改,駆逐艦,30,49,90,52,80,50,59,39,17,0,高速,短,15,20,,編集
437,狭霧,駆逐艦,15,19,79,29,69,39,49,19,6,0,高速,短,15,20,,編集
438,狭霧改,駆逐艦,30,49,88,50,82,49,59,41,7,0,高速,短,15,20,,編集
439,水無月,駆逐艦,13,18,69,29,49,29,41,17,13,0,高速,短,15,15,,編集
440,水無月改,駆逐艦,24,39,89,39,69,39,61,39,16,0,高速,短,15,15,,編集
441,,,,,,,,,,,,,,,,,,編集
442,伊26,潜水艦,14,18,37,9,75,0,0,39,14,0,低速,短,10,20,,編集
443,伊26改,潜水空母,18,19,52,12,86,0,0,41,16,2,低速,短,10,25,,編集
444,浜波,駆逐艦,16,19,80,31,68,43,52,24,10,0,高速,短,15,20,,編集
445,浜波改,駆逐艦,32,49,90,52,78,59,65,56,12,0,高速,短,15,20,,編集
446,藤波,駆逐艦,16,19,79,31,69,42,53,24,9,0,高速,短,15,20,,編集
447,藤波改,駆逐艦,32,49,89,52,79,60,66,56,11,0,高速,短,15,20,,編集
448,浦波,駆逐艦,15,19,84,29,69,39,49,19,14,0,高速,短,15,20,,編集
449,浦波改,駆逐艦,30,49,93,49,79,54,59,43,17,0,高速,短,15,20,,編集
450,鬼怒改二,軽巡洋艦,45,68,82,58,84,86,87,60,17,3,高速,短,25,30,2021/1/13メンテ後,編集
451,由良改二,軽巡洋艦,45,67,84,57,83,88,83,64,16,4,高速,短,25,30,,編集
452,満潮改二,駆逐艦,31,54,90,68,89,64,60,53,18,0,高速,短,15,20,,編集
453,荒潮改二,駆逐艦,31,52,90,69,88,70,59,52,17,0,高速,短,15,20,,編集
454,Commandant Teste,水上機母艦,42,50,43,48,0,40,0,70,17,26,低速,短,35,40,,編集
455,Commandant Teste改,水上機母艦,43,56,44,58,0,48,0,88,20,38,低速,短,40,50,,編集
456,Richelieu,戦艦,85,90,67,94,0,70,0,50,22,12,高速,長,100,125,,編集
457,Richelieu改,戦艦,89,96,73,96,0,78,0,54,24,12,高速,長,100,130,,編集
458,伊400,潜水空母,20,24,34,10,73,0,0,46,19,3,低速,短,20,15,,編集
459,伊400改,潜水空母,24,24,43,20,82,0,0,46,19,6,低速,短,25,30,,編集
460,伊13,潜水空母,18,22,36,9,68,0,0,43,6,2,低速,短,15,15,3スロット,編集
461,伊13改,潜水空母,21,22,47,16,72,0,0,43,8,3,低速,短,25,25,3スロット,編集
462,伊14,潜水空母,18,22,39,9,66,0,0,44,24,2,低速,短,15,15,3スロット,編集
463,伊14改,潜水空母,22,23,53,12,68,0,0,44,24,3,低速,短,25,25,3スロット,編集
464,Zara due,重巡洋艦,62,88,73,87,48,90,0,64,17,15,高速,長,50,80,,編集
465,白露改二,駆逐艦,31,50,91,69,87,71,83,50,16,0,高速,短,15,20,,編集
466,村雨改二,駆逐艦,31,51,90,68,88,70,77,47,17,0,高速,短,15,20,,編集
467,神威改,水上機母艦,37,29,27,22,0,28,0,48,19,22,低速,中,30,15,,編集
468,神威改母,補給艦,39,33,38,25,0,34,30,54,20,3,低速,中,30,20,,編集
469,最上改二,航空巡洋艦,60,77,83,76,88,86,0,86,18,24,高速,中,55,60,,編集
470,,,,,,,,,,,,,,,,,,編集
471,鈴谷改二,航空巡洋艦,61,74,82,76,88,85,0,83,14,24,高速,中,55,60,,編集
472,熊野改二,航空巡洋艦,62,75,81,76,87,84,0,81,13,24,高速,中,55,60,,編集
473,,,,,,,,,,,,,,,,,,編集
474,最上改二特,航空巡洋艦,61,78,81,81,90,86,0,80,18,14,高速,中,55,70,,編集
475,,,,,,,,,,,,,,,,,,編集
476,鈴谷航改二,軽空母,61,74,83,56,0,87,0,85,13,50,高速,中,60,55,,編集
477,熊野航改二,軽空母,62,75,82,55,0,86,0,83,12,50,高速,中,60,55,,編集
478,,,,,,,,,,,,,,,,,,編集
479,Гангут,戦艦,59,73,47,78,28,58,0,30,20,4,低速,長,75,100,,編集
480,Октябрьская революция,戦艦,72,90,66,89,0,65,0,36,30,4,低速,長,80,105,,編集
481,Ташкент,駆逐艦,22,31,90,50,48,52,55,36,40,0,高速,中,15,30,3スロット,編集
482,Ташкент改,駆逐艦,39,56,94,66,68,69,73,48,43,0,高速,中,15,35,4スロット,編集
483,Sheffield,軽巡洋艦,38,41,65,56,40,70,70,68,17,5,高速,中,35,60,,編集
484,Sheffield改,軽巡洋艦,52,68,79,74,68,78,77,72,20,6,高速,中,40,65,,編集
485,Ark Royal,正規空母,55,47,57,27,0,72,0,72,8,72,高速,短,55,50,,編集
486,Ark Royal改,正規空母,71,70,68,51,0,82,0,84,13,80,高速,短,65,60,,編集
487,Гангут два,戦艦,77,95,68,90,32,72,0,38,35,6,低速,長,85,110,,編集
488,占守,海防艦,9,16,83,18,0,24,72,13,40,0,低速,短,10,10,,編集
489,占守改,海防艦,17,33,92,35,0,53,77,28,50,0,低速,短,10,10,,編集
490,国後,海防艦,9,16,82,19,0,22,70,14,35,0,低速,短,10,10,,編集
491,国後改,海防艦,17,33,91,36,0,52,75,29,45,0,低速,短,10,10,,編集
492,Jervis,駆逐艦,15,18,79,32,82,44,82,22,50,0,高速,短,15,25,,編集
493,Jervis改,駆逐艦,31,50,90,52,90,70,92,52,55,0,高速,短,15,25,,編集
494,Janus,駆逐艦,15,18,76,33,82,42,83,20,17,0,高速,短,15,25,,編集
495,Janus改,駆逐艦,31,50,86,53,90,72,93,52,22,0,高速,短,15,25,,編集
496,春日丸,軽空母,36,32,39,9,0,24,0,48,5,23,低速,短,25,25,,編集
497,八幡丸,軽空母,36,32,38,10,0,25,0,47,6,23,低速,短,25,25,,編集
498,,,,,,,,,,,,,,,,,,編集
499,神鷹,軽空母,38,35,37,14,0,30,60,48,9,33,低速,短,30,25,,編集
500,神鷹改,軽空母,48,53,50,24,0,48,80,60,11,36,低速,短,30,30,,編集
501,Luigi Torelli,潜水艦,11,17,42,10,62,18,0,24,25,0,低速,短,10,20,,編集
502,Luigi Torelli改,潜水艦,13,18,56,8,32,22,0,28,30,0,低速,短,10,15,,編集
503,大鷹,軽空母,37,34,39,12,0,27,59,52,6,27,低速,短,30,25,,編集
504,大鷹改,軽空母,47,52,49,23,0,42,79,64,9,36,低速,短,30,30,,編集
505,岸波,駆逐艦,16,19,80,31,68,43,54,24,10,0,高速,短,15,20,,編集
506,岸波改,駆逐艦,32,49,90,50,80,56,72,44,13,0,高速,短,15,20,,編集
507,早波,駆逐艦,16,19,79,30,68,44,54,23,9,0,高速,短,15,20,,編集
508,早波改,駆逐艦,32,49,88,51,80,58,69,55,10,0,高速,短,15,20,,編集
509,UIT-25,潜水艦,13,19,62,12,36,25,0,30,35,0,低速,短,10,20,,編集
510,伊504,潜水艦,14,21,64,15,68,28,0,32,40,0,低速,短,10,20,,編集
511,大鷹改二,軽空母,49,55,54,39,0,54,89,68,14,39,低速,中,35,35,,編集
512,涼月,駆逐艦,21,29,83,47,46,102,61,27,27,0,高速,短,20,25,,編集
513,,,,,,,,,,,,,,,,,,編集
514,択捉,海防艦,9,16,83,18,0,27,72,14,37,0,低速,短,10,10,,編集
515,択捉改,海防艦,17,33,92,37,0,54,79,28,40,0,低速,短,10,10,,編集
516,松輪,海防艦,9,16,81,19,0,28,72,15,7,0,低速,短,10,10,,編集
517,松輪改,海防艦,17,33,89,38,0,55,79,28,9,0,低速,短,10,10,,編集
518,神鷹改二,軽空母,50,56,53,37,0,58,88,64,15,51,低速,中,35,35,,編集
519,涼月改,駆逐艦,38,55,91,56,52,116,71,48,37,0,高速,短,20,25,,編集
520,,,,,,,,,,,,,,,,,,編集
521,佐渡,海防艦,9,16,81,19,0,29,73,15,7,0,低速,短,10,10,,編集
522,佐渡改,海防艦,17,33,88,39,0,54,79,29,9,0,低速,短,10,10,,編集
523,対馬,海防艦,9,16,84,17,0,27,72,13,47,0,低速,短,10,10,,編集
524,対馬改,海防艦,17,34,93,36,0,53,81,28,49,0,低速,短,10,10,,編集
525,長門改二,戦艦,91,110,70,118,0,100,0,55,40,15,低速,長,180,225,,編集
526,夕雲改二,駆逐艦,33,53,93,67,87,66,77,45,18,0,高速,短,15,20,,編集
527,長波改二,駆逐艦,33,53,91,69,89,64,68,44,30,0,高速,短,15,20,,編集
528,Gambier Bay,軽空母,28,19,36,15,0,38,60,60,12,28,低速,短,25,30,,編集
529,Gambier Bay改,軽空母,38,39,46,32,0,48,68,68,15,34,低速,短,25,35,,編集
530,Saratoga Mk.II,正規空母,89,85,60,68,0,94,0,93,40,80,高速,中,90,95,,編集
531,武蔵改二,戦艦,99,125,65,145,0,105,0,58,10,28,低速,超長,275,350,,編集
532,多摩改二,軽巡洋艦,46,69,82,61,91,83,85,61,13,3,高速,短,25,30,2021/1/13メンテ後,編集
533,文月改二,駆逐艦,27,46,93,45,77,82,81,47,17,0,高速,短,15,15,,編集
534,Intrepid,正規空母,65,80,64,55,0,90,0,80,45,96,高速,中,75,80,,編集
535,Intrepid改,正規空母,69,90,68,58,0,95,0,90,50,112,高速,中,90,105,,編集
536,Saratoga Mk.II Mod.2,装甲空母,89,88,56,58,0,94,0,95,40,93,高速,中,100,100,,編集
537,日振,海防艦,9,17,83,19,0,36,78,15,7,0,低速,短,10,10,,編集
538,日振改,海防艦,18,34,87,38,0,62,83,29,9,0,低速,短,10,10,,編集
539,大東,海防艦,9,17,81,18,0,36,77,12,33,0,低速,短,10,10,,編集
540,大東改,海防艦,18,35,90,36,0,61,85,28,37,0,低速,短,10,10,,編集
541,伊勢改二,改装航空戦艦,78,94,82,88,0,85,0,72,40,57,低速,中,110,145,,編集
542,日向改二,改装航空戦艦,78,94,83,86,0,84,85,75,40,57,低速,中,115,140,,編集
543,瑞鳳改二,軽空母,59,71,74,46,0,70,0,80,42,57,高速,中,40,45,,編集
544,浦風丁改,駆逐艦,33,53,88,62,80,76,88,48,18,0,高速,短,15,25,,編集
545,磯風乙改,駆逐艦,34,53,90,63,84,90,70,52,24,0,高速,短,15,25,2020/11/13メンテ後,編集
546,浜風乙改,駆逐艦,33,54,89,60,83,93,72,46,20,0,高速,短,15,25,2020/11/13メンテ後,編集
547,谷風丁改,駆逐艦,33,51,94,59,84,80,86,42,17,0,高速,短,15,25,,編集
548,瑞鳳改二乙,軽空母,59,72,67,48,0,88,48,77,42,50,高速,長,40,45,,編集
549,Samuel B.Roberts,駆逐艦,14,17,80,24,38,40,80,20,30,0,低速,短,15,20,,編集
550,Samuel B.Roberts改,駆逐艦,27,43,88,50,70,60,88,48,40,0,低速,短,15,20,,編集
551,Johnston,駆逐艦,17,20,81,32,60,60,82,32,17,0,高速,短,20,20,,編集
552,Johnston改,駆逐艦,34,52,89,55,72,90,90,60,40,0,高速,短,20,20,,編集
553,巻雲改二,駆逐艦,33,53,89,64,90,65,72,43,16,0,高速,短,15,20,,編集
554,風雲改二,駆逐艦,33,53,92,66,89,67,78,45,20,0,高速,短,15,20,,編集
555,福江,海防艦,9,16,84,16,0,28,72,13,36,0,低速,短,10,10,,編集
556,福江改,海防艦,17,34,92,35,0,55,80,27,40,0,低速,短,10,10,,編集
557,陽炎改二,駆逐艦,33,53,90,68,90,62,67,42,20,0,高速,短,15,20,,編集
558,不知火改二,駆逐艦,33,54,90,67,91,64,68,43,24,0,高速,短,15,20,,編集
559,黒潮改二,駆逐艦,33,53,90,69,88,65,70,41,22,0,高速,短,15,20,,編集
560,沖波改二,駆逐艦,33,53,93,65,87,71,79,44,22,0,高速,短,15,20,,編集
561,平戸,海防艦,9,16,82,18,0,28,74,15,11,0,低速,短,10,10,,編集
562,平戸改,海防艦,17,33,89,37,0,55,81,29,14,0,低速,短,10,10,,編集
563,Nelson,戦艦,82,92,44,102,0,82,0,42,24,5,低速,長,95,145,,編集
564,,,,,,,,,,,,,,,,,,編集
565,陸奥改二,戦艦,91,109,71,118,0,102,0,56,16,15,低速,長,180,225,,編集
566,Gotland,軽(航空)巡洋艦,32,46,68,48,68,58,58,70,20,11,高速,中,30,25,,編集
567,Maestrale,駆逐艦,15,18,82,27,58,41,60,20,14,0,高速,短,15,20,,編集
568,Nelson改,戦艦,93,104,58,114,0,92,0,48,28,6,低速,長,95,175,,編集
569,,,,,,,,,,,,,,,,,,編集
570,朝霜改二,駆逐艦,33,53,94,68,88,72,76,43,28,0,高速,短,15,20,2020/11/13メンテ後,編集
